INCIDENT_NUMBER,OFFENSE_DESCRIPTION,SHOOTING,OCCURRED_ON_DATE,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Neighborhood_Geopy
225520077.0,INVESTIGATE PERSON,0.0,2022-02-02 00:00:00,2.0,Wednesday,0.0,WASHINGTON ST,42.3431,-71.1417,Brighton
222934485.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-05-14 20:50:00,5.0,Saturday,20.0,BLUE HILL AVE,42.308,-71.0836,Roxbury
222924960.0,VERBAL DISPUTE,0.0,2022-04-09 16:30:00,4.0,Saturday,16.0,GIBSON ST,42.2976,-71.0597,Dorchester
222648862.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-02-05 18:25:00,2.0,Saturday,18.0,WASHINGTON ST,42.3297,-71.0845,Roxbury
222587590.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-06-24 18:30:00,6.0,Friday,18.0,HOLWORTHY ST,42.3168,-71.0909,Roxbury
222465682.0,PROPERTY - LOST/ MISSING,0.0,2022-10-07 06:00:00,10.0,Friday,6.0,HARRISON AVE,42.3395,-71.0694,South End
222449806.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-06-14 14:40:00,6.0,Tuesday,14.0,"LAWRENCE AVE & MASCOMA ST
DORCHESTER  MA 02121
UNI",42.3114,-71.0758,Roxbury
222409259.0,FRAUD - CREDIT CARD / ATM FRAUD,0.0,2022-03-01 00:00:00,3.0,Tuesday,0.0,WHITE ST,42.3805,-71.0338,East Boston
222252512.0,LARCENY ALL OTHERS,0.0,2022-05-31 10:10:00,5.0,Tuesday,10.0,WASHINGTON ST,42.318,-71.0962,Roxbury
222201764.0,AUTO THEFT,0.0,2022-01-09 00:00:00,1.0,Sunday,0.0,W BROADWAY,42.3413,-71.0547,South Boston
222201559.0,ROBBERY,0.0,2022-03-05 13:00:00,3.0,Saturday,13.0,ALBANY ST,42.3332,-71.0739,South End
