BusinessName,Address,ZIP,DESCRIPT,Latitude,Longitude,Neighborhood_Geopy
# 7 RESTAURANT,225 Grove,2132,Eating & Drinking w/ Take Out,42.2619,-71.1574,Roxbury
100 Federal Market & Barista- 11th Floor,100 Federal,2110,Eating & Drinking w/ Take Out,42.3548,-71.0561,Downtown Boston
100 Percent Delicias Express,656 Centre,2130,Eating & Drinking w/ Take Out,42.3128,-71.1139,Jamaica Plain
11 Dining -16th Fl.,200 Berkeley,2116,Eating & Drinking,42.3499,-71.0729,Back Bay
1928 Beacon Hill,97 Mount Vernon,2108,Eating & Drinking,42.3581,-71.0697,Beacon Hill
20TH CENTRY BOWLING LANES,1231 Hyde Park,2136,Eating & Drinking w/ Take Out,42.2568,-71.1241,Hyde Park
21 ST. AMENDMENT,150 Bowdoin,2108,Eating & Drinking,42.3583,-71.0626,Beacon Hill
224 BOSTON,224 Boston,2125,Eating & Drinking,42.3223,-71.0608,Dorchester
320 Cafe,314 Spring,2132,Eating & Drinking,42.2717,-71.1721,Roxbury
75 CHESTNUT,75 Chestnut,2108,Eating & Drinking,42.3569,-71.071,Beacon Hill
753 South,749 South,2131,Eating & Drinking,42.2872,-71.1291,Roslindale
8 Pizzas,600 Washington,2135,Eating & Drinking w/ Take Out,42.3504,-71.167,Brighton
89 Broad Street/Fin Point,89 Broad,2110,Eating & Drinking,42.3574,-71.0532,Downtown Boston
99 RESTAURANT AND PUB,29 Austin,2129,Eating & Drinking,42.3749,-71.0671,Charlestown
A & N PIZZA,1409 Centre,2132,Eating & Drinking w/ Take Out,42.2941,-71.1367,Roslindale
A K's Take Out & Delivery,1427 Tremont,2120,Eating & Drinking w/ Take Out,42.3319,-71.0963,Mission Hill
ABE & LOUIE'S,793 Boylston,2116,Eating & Drinking,42.3492,-71.0816,Back Bay
Adams B & B,12 Edgerly,2115,Eating & Drinking,42.3461,-71.0879,Fenway/Kenmore
AFC Sushi @ Shaws #1208,246 Border,2128,Eating & Drinking w/ Take Out,42.3764,-71.04,East Boston
AFC Sushi @ Walgreens #15390,10 School,2108,Eating & Drinking w/ Take Out,42.3573,-71.059,Downtown Boston
AFC SUSHI @SIMMONS COLLEGE,300 Fenway,2115,Eating & Drinking,42.3393,-71.1,Fenway/Kenmore
AFC Sushi @Star Market #3577,75 Spring,2132,Eating & Drinking w/ Take Out,42.2787,-71.1633,Roxbury
Agganis Arena-FS,925 Commonwealth,2215,Eating & Drinking,42.3522,-71.1177,Allston
Agganis Arena-Stand 1,925 Commonwealth,2215,Eating & Drinking w/ Take Out,42.3522,-71.1177,Allston
