id,address,beds,baths,area,price,zestimate,best_deal,Lat,Long,Neighborhood_Geopy,pricem
318226130,"1650 Commonwealth Ave UNIT 606, Brighton, MA 02135",3.0,2.0,1440,"$5,500/mo",1645500,-1640000.0,42.3419,-71.1441,Brighton,5500
59166982,"201 Newbury St APT 508, Boston, MA 02116",2.0,2.0,1126,"$6,000/mo",1413800,-1407800.0,42.3504,-71.0805,Back Bay,6000
59177974,"3 bed, 2.0 bath, 1100 sqft, $5,400, 11 Bay State Rd APT 2, Boston, MA 02215",3.0,2.0,1100,"$5,400/mo",1102900,-1097500.0,42.3502,-71.0933,Fenway/Kenmore,5400
59104307,"28 Sumner St, Dorchester, MA 02125",7.0,2.0,2509,"$7,675/mo",859700,-852025.0,42.3187,-71.0612,Dorchester,7675
59177983,"23 Bay State Rd APT 6, Boston, MA 02215",2.0,1.0,813,"$3,200/mo",800600,-797400.0,42.3502,-71.0939,Fenway/Kenmore,3200
59167365,"25 Bay State Rd, Boston, MA 02215",2.0,1.0,1000,"$3,200/mo",762900,-759700.0,42.3502,-71.094,Fenway/Kenmore,3200
59094576,"39 Snow St, Brighton, MA 02135",4.0,2.5,1100,"$4,500/mo",653700,-649200.0,42.3458,-71.1494,Brighton,4500
59178532,"501 Beacon St APT 9, Boston, MA 02215",1.0,1.0,575,"$2,875/mo",650000,-647125.0,42.3505,-71.0899,Back Bay,2875
59096315,"(undisclosed Address), Brighton, MA 02135",5.0,4.0,2800,"$7,200/mo",627400,-620200.0,,,No Details,7200
59167359,"17 Bay State Rd, Boston, MA 02215",4.0,2.0,999,"$6,200/mo",612900,-606700.0,42.3502,-71.0936,Fenway/Kenmore,6200
2104772572,"263 Shawmut Ave #4, Boston, MA 02118",1.0,1.0,535,"$2,800/mo",608500,-605700.0,42.3433,-71.069,South End,2800
333606922,"36 Montvale St #1, Boston, MA 02131",3.0,2.0,1541,"$3,200/mo",585800,-582600.0,42.2851,-71.1446,Roslindale,3200
59130788,"64 Weld Hill St #2, Jamaica Plain, MA 02130",2.0,1.0,1029,"$3,200/mo",575500,-572300.0,42.2976,-71.1117,Roslindale,3200
59095012,"370 Chestnut Hill Ave, Brighton, MA 02135",1.0,1.0,567,"$2,650/mo",495800,-493150.0,42.3365,-71.1512,Brighton,2650
2096507205,"346 Hyde Park Ave #1, Roslindale, MA 02131",3.0,1.0,1200,"$2,850/mo",486300,-483450.0,42.2892,-71.118,Roslindale,2850
59094977,"374 Chestnut Hill Ave APT 34, Brighton, MA 02135",1.0,1.0,567,"$2,650/mo",431600,-428950.0,42.3364,-71.1512,Brighton,2650
81853945,"1810 Dorchester Ave APT 8, Dorchester, MA 02124",1.0,1.0,450,"$1,900/mo",285900,-284000.0,42.2889,-71.0632,Dorchester,1900
59089414,"Studio, 1.0 bath, $1,500, 1673 Commonwealth Ave APT 17, Brighton, MA 02135",0.0,1.0,400,"$1,550/mo",269400,-267850.0,42.3428,-71.1449,Brighton,1550
2060511654,"7 Barrows St #5C, Allston, MA 02134",0.0,1.0,,"$1,800/mo",0,1800.0,42.3528,-71.1382,Allston,1800
2118413674,"1455 Commonwealth Ave APT 202, Boston, MA 02135",1.0,1.0,450,"$1,825/mo",0,1825.0,42.3483,-71.1409,Brighton,1825
2060701702,"76 Gordon St #9, Allston, MA 02134",0.0,1.0,375,"$1,825/mo",0,1825.0,42.3501,-71.1398,Allston,1825
